StandID;ForTyp;Structure_Class;Variant;Forest_Type;Structure_Class_Description
1009;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
1583;261;3=UR;CA;White fir;Understory Reinitiation (3)
3725;996;2=SE;CA;NA;Stem Exclusion (2)
3730;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
3736;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
3737;366;2=SE;CA;Limber pine;Stem Exclusion (2)
3739;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
3742;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
3748;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
3754;281;1=SI;CA;Lodgepole pine;NA
3755;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
3757;996;2=SE;CA;NA;Stem Exclusion (2)
3758;996;2=SE;CA;NA;Stem Exclusion (2)
3759;996;4=YM;CA;NA;Young Forest Multistrata (4)
3763;996;3=UR;CA;NA;Understory Reinitiation (3)
3765;996;1=SI;CA;NA;NA
3767;996;2=SE;CA;NA;Stem Exclusion (2)
3768;901;3=UR;CA;Aspen;Understory Reinitiation (3)
3771;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
3778;996;5=OS;CA;NA;Old Forest Single Stratum (5)
3780;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
3785;996;2=SE;CA;NA;Stem Exclusion (2)
3786;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
3787;996;2=SE;CA;NA;Stem Exclusion (2)
3788;996;2=SE;CA;NA;Stem Exclusion (2)
3792;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
3793;996;3=UR;CA;NA;Understory Reinitiation (3)
3802;368;6=OM;CA;Misc. western softwoods;Old Forest Multistrata (6)
3803;901;2=SE;CA;Aspen;Stem Exclusion (2)
3808;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
3811;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
3816;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
3818;996;3=UR;CA;NA;Understory Reinitiation (3)
3821;997;3=UR;CA;NA;Understory Reinitiation (3)
3822;221;1=SI;CA;Ponderosa pine;NA
3824;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
3826;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
3827;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
3828;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
3829;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
3832;996;2=SE;CA;NA;Stem Exclusion (2)
3838;996;2=SE;CA;NA;Stem Exclusion (2)
3843;901;2=SE;CA;Aspen;Stem Exclusion (2)
3846;996;2=SE;CA;NA;Stem Exclusion (2)
3848;996;2=SE;CA;NA;Stem Exclusion (2)
3850;996;3=UR;CA;NA;Understory Reinitiation (3)
3853;996;2=SE;CA;NA;Stem Exclusion (2)
3855;996;6=OM;CA;NA;Old Forest Multistrata (6)
3857;996;2=SE;CA;NA;Stem Exclusion (2)
3859;996;1=SI;CA;NA;NA
3864;996;3=UR;CA;NA;Understory Reinitiation (3)
3866;996;2=SE;CA;NA;Stem Exclusion (2)
3867;901;3=UR;CA;Aspen;Understory Reinitiation (3)
3869;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
3871;996;2=SE;CA;NA;Stem Exclusion (2)
3872;996;5=OS;CA;NA;Old Forest Single Stratum (5)
3873;996;2=SE;CA;NA;Stem Exclusion (2)
3874;996;3=UR;CA;NA;Understory Reinitiation (3)
3875;996;2=SE;CA;NA;Stem Exclusion (2)
3877;996;2=SE;CA;NA;Stem Exclusion (2)
3881;996;2=SE;CA;NA;Stem Exclusion (2)
3884;996;1=SI;CA;NA;NA
3886;901;2=SE;CA;Aspen;Stem Exclusion (2)
3888;996;2=SE;CA;NA;Stem Exclusion (2)
3890;996;3=UR;CA;NA;Understory Reinitiation (3)
3891;996;1=SI;CA;NA;NA
3892;996;2=SE;CA;NA;Stem Exclusion (2)
3893;996;2=SE;CA;NA;Stem Exclusion (2)
3894;996;2=SE;CA;NA;Stem Exclusion (2)
3896;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
3897;997;1=SI;CA;NA;NA
3898;996;2=SE;CA;NA;Stem Exclusion (2)
3899;703;2=SE;CA;Cottonwood;Stem Exclusion (2)
3900;996;2=SE;CA;NA;Stem Exclusion (2)
3902;996;6=OM;CA;NA;Old Forest Multistrata (6)
3903;996;2=SE;CA;NA;Stem Exclusion (2)
3909;996;2=SE;CA;NA;Stem Exclusion (2)
3915;996;3=UR;CA;NA;Understory Reinitiation (3)
3917;996;2=SE;CA;NA;Stem Exclusion (2)
3921;996;6=OM;CA;NA;Old Forest Multistrata (6)
3922;996;2=SE;CA;NA;Stem Exclusion (2)
3923;996;5=OS;CA;NA;Old Forest Single Stratum (5)
3924;996;2=SE;CA;NA;Stem Exclusion (2)
3926;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
